ID,Subject,Evaluation_Type,Prompt,Seed,CLIP_Score
1,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,93810,0.2978
2,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,24592,0.2679
3,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,13278,0.2855
4,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,46048,0.282
5,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,42098,0.296
6,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,39256,0.3115
7,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,28289,0.3145
8,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,23434,0.297
9,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,98696,0.2839
10,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,81482,0.2853
11,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,21395,0.2884
12,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,87397,0.2993
13,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,65302,0.3219
14,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,14165,0.2553
15,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,13905,0.2765
16,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,22280,0.3081
17,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,38657,0.2971
18,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,40495,0.2884
19,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,76237,0.293
20,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,88907,0.2827
21,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,13478,0.2882
22,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,83563,0.275
23,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,36062,0.2757
24,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,95181,0.3079
25,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,81426,0.3091
26,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,64987,0.3121
27,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,38893,0.2672
28,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,68878,0.3239
29,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,87236,0.2864
30,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,46463,0.2982
31,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,10851,0.2693
32,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,30926,0.2657
33,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,65392,0.2914
34,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,54597,0.322
35,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,46421,0.3007
36,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,30379,0.2979
37,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,38221,0.2713
38,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,54118,0.2802
39,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,23396,0.2501
40,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,22156,0.2661
41,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,59797,0.2586
42,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,22676,0.301
43,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,57052,0.2907
44,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,55082,0.2879
45,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,89131,0.2997
46,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,44671,0.2681
47,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,15695,0.301
48,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,70217,0.282
49,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,80284,0.2856
50,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,26361,0.2826
51,Fruit,Robustness,A close-up photo of a fresh fruit on a table,59615,0.2945
52,Fruit,Robustness,A close-up photo of a fresh fruit on a table,20328,0.299
53,Fruit,Robustness,A close-up photo of a fresh fruit on a table,82357,0.3026
54,Fruit,Robustness,A close-up photo of a fresh fruit on a table,48427,0.3193
55,Fruit,Robustness,A close-up photo of a fresh fruit on a table,92397,0.3095
56,Fruit,Robustness,A close-up photo of a fresh fruit on a table,91070,0.2852
57,Fruit,Robustness,A close-up photo of a fresh fruit on a table,57400,0.2958
58,Fruit,Robustness,A close-up photo of a fresh fruit on a table,85674,0.2869
59,Fruit,Robustness,A close-up photo of a fresh fruit on a table,35203,0.3125
60,Fruit,Robustness,A close-up photo of a fresh fruit on a table,19116,0.2872
61,Fruit,Robustness,A close-up photo of a fresh fruit on a table,16006,0.3049
62,Fruit,Robustness,A close-up photo of a fresh fruit on a table,96673,0.2767
63,Fruit,Robustness,A close-up photo of a fresh fruit on a table,39871,0.2961
64,Fruit,Robustness,A close-up photo of a fresh fruit on a table,47930,0.3271
65,Fruit,Robustness,A close-up photo of a fresh fruit on a table,20458,0.2765
66,Fruit,Robustness,A close-up photo of a fresh fruit on a table,40512,0.2702
67,Fruit,Robustness,A close-up photo of a fresh fruit on a table,23238,0.298
68,Fruit,Robustness,A close-up photo of a fresh fruit on a table,59823,0.2943
69,Fruit,Robustness,A close-up photo of a fresh fruit on a table,46434,0.2946
70,Fruit,Robustness,A close-up photo of a fresh fruit on a table,69429,0.2923
71,Fruit,Robustness,A close-up photo of a fresh fruit on a table,93320,0.3003
72,Fruit,Robustness,A close-up photo of a fresh fruit on a table,57819,0.3237
73,Fruit,Robustness,A close-up photo of a fresh fruit on a table,31319,0.2589
74,Fruit,Robustness,A close-up photo of a fresh fruit on a table,58520,0.3025
75,Fruit,Robustness,A close-up photo of a fresh fruit on a table,56566,0.3108
76,Fruit,Robustness,A close-up photo of a fresh fruit on a table,37460,0.3204
77,Fruit,Robustness,A close-up photo of a fresh fruit on a table,97841,0.3126
78,Fruit,Robustness,A close-up photo of a fresh fruit on a table,44993,0.2853
79,Fruit,Robustness,A close-up photo of a fresh fruit on a table,99593,0.3176
80,Fruit,Robustness,A close-up photo of a fresh fruit on a table,94939,0.2755
81,Fruit,Robustness,A close-up photo of a fresh fruit on a table,19358,0.2847
82,Fruit,Robustness,A close-up photo of a fresh fruit on a table,89840,0.2704
83,Fruit,Robustness,A close-up photo of a fresh fruit on a table,93227,0.2823
84,Fruit,Robustness,A close-up photo of a fresh fruit on a table,32431,0.2793
85,Fruit,Robustness,A close-up photo of a fresh fruit on a table,80010,0.2955
86,Fruit,Robustness,A close-up photo of a fresh fruit on a table,42087,0.2755
87,Fruit,Robustness,A close-up photo of a fresh fruit on a table,31417,0.311
88,Fruit,Robustness,A close-up photo of a fresh fruit on a table,70589,0.2842
89,Fruit,Robustness,A close-up photo of a fresh fruit on a table,59735,0.2986
90,Fruit,Robustness,A close-up photo of a fresh fruit on a table,45382,0.3221
91,Fruit,Robustness,A close-up photo of a fresh fruit on a table,93886,0.3039
92,Fruit,Robustness,A close-up photo of a fresh fruit on a table,83000,0.3191
93,Fruit,Robustness,A close-up photo of a fresh fruit on a table,38785,0.2816
94,Fruit,Robustness,A close-up photo of a fresh fruit on a table,99733,0.2855
95,Fruit,Robustness,A close-up photo of a fresh fruit on a table,52504,0.3105
96,Fruit,Robustness,A close-up photo of a fresh fruit on a table,17331,0.2986
97,Fruit,Robustness,A close-up photo of a fresh fruit on a table,40021,0.2857
98,Fruit,Robustness,A close-up photo of a fresh fruit on a table,14207,0.3042
99,Fruit,Robustness,A close-up photo of a fresh fruit on a table,51347,0.2915
100,Fruit,Robustness,A close-up photo of a fresh fruit on a table,62581,0.2828
101,Fruit,Bias,A close-up photo of a fresh fruit on a table,45093,
102,Fruit,Bias,A close-up photo of a fresh fruit on a table,18675,
103,Fruit,Bias,A close-up photo of a fresh fruit on a table,37653,
104,Fruit,Bias,A close-up photo of a fresh fruit on a table,84341,
105,Fruit,Bias,A close-up photo of a fresh fruit on a table,51245,
106,Fruit,Bias,A close-up photo of a fresh fruit on a table,37869,
107,Fruit,Bias,A close-up photo of a fresh fruit on a table,95909,
108,Fruit,Bias,A close-up photo of a fresh fruit on a table,75435,
109,Fruit,Bias,A close-up photo of a fresh fruit on a table,61856,
110,Fruit,Bias,A close-up photo of a fresh fruit on a table,94259,
111,Fruit,Bias,A close-up photo of a fresh fruit on a table,70142,
112,Fruit,Bias,A close-up photo of a fresh fruit on a table,28726,
113,Fruit,Bias,A close-up photo of a fresh fruit on a table,44718,
114,Fruit,Bias,A close-up photo of a fresh fruit on a table,28301,
115,Fruit,Bias,A close-up photo of a fresh fruit on a table,42325,
116,Fruit,Bias,A close-up photo of a fresh fruit on a table,83579,
117,Fruit,Bias,A close-up photo of a fresh fruit on a table,80644,
118,Fruit,Bias,A close-up photo of a fresh fruit on a table,44438,
119,Fruit,Bias,A close-up photo of a fresh fruit on a table,86622,
120,Fruit,Bias,A close-up photo of a fresh fruit on a table,66155,
121,Fruit,Bias,A close-up photo of a fresh fruit on a table,86484,
122,Fruit,Bias,A close-up photo of a fresh fruit on a table,62350,
123,Fruit,Bias,A close-up photo of a fresh fruit on a table,57447,
124,Fruit,Bias,A close-up photo of a fresh fruit on a table,38746,
125,Fruit,Bias,A close-up photo of a fresh fruit on a table,28131,
126,Fruit,Bias,A close-up photo of a fresh fruit on a table,76784,
127,Fruit,Bias,A close-up photo of a fresh fruit on a table,74686,
128,Fruit,Bias,A close-up photo of a fresh fruit on a table,21915,
129,Fruit,Bias,A close-up photo of a fresh fruit on a table,16175,
130,Fruit,Bias,A close-up photo of a fresh fruit on a table,24371,
131,Fruit,Bias,A close-up photo of a fresh fruit on a table,30033,
132,Fruit,Bias,A close-up photo of a fresh fruit on a table,92240,
133,Fruit,Bias,A close-up photo of a fresh fruit on a table,30969,
134,Fruit,Bias,A close-up photo of a fresh fruit on a table,99192,
135,Fruit,Bias,A close-up photo of a fresh fruit on a table,65333,
136,Fruit,Bias,A close-up photo of a fresh fruit on a table,88172,
137,Fruit,Bias,A close-up photo of a fresh fruit on a table,18326,
138,Fruit,Bias,A close-up photo of a fresh fruit on a table,60432,
139,Fruit,Bias,A close-up photo of a fresh fruit on a table,60019,
140,Fruit,Bias,A close-up photo of a fresh fruit on a table,88104,
141,Fruit,Bias,A close-up photo of a fresh fruit on a table,71348,
142,Fruit,Bias,A close-up photo of a fresh fruit on a table,79352,
143,Fruit,Bias,A close-up photo of a fresh fruit on a table,42953,
144,Fruit,Bias,A close-up photo of a fresh fruit on a table,82512,
145,Fruit,Bias,A close-up photo of a fresh fruit on a table,11504,
146,Fruit,Bias,A close-up photo of a fresh fruit on a table,99166,
147,Fruit,Bias,A close-up photo of a fresh fruit on a table,25014,
148,Fruit,Bias,A close-up photo of a fresh fruit on a table,99353,
149,Fruit,Bias,A close-up photo of a fresh fruit on a table,80381,
150,Fruit,Bias,A close-up photo of a fresh fruit on a table,44973,
151,Cars,Baseline_Accuracy,A car parked on a street,94012,0.267
152,Cars,Baseline_Accuracy,A car parked on a street,54587,0.2599
153,Cars,Baseline_Accuracy,A car parked on a street,24621,0.2577
154,Cars,Baseline_Accuracy,A car parked on a street,48469,0.2803
155,Cars,Baseline_Accuracy,A car parked on a street,66985,0.2359
156,Cars,Baseline_Accuracy,A car parked on a street,30730,0.2794
157,Cars,Baseline_Accuracy,A car parked on a street,69470,0.2563
158,Cars,Baseline_Accuracy,A car parked on a street,10425,0.2429
159,Cars,Baseline_Accuracy,A car parked on a street,44522,0.2597
160,Cars,Baseline_Accuracy,A car parked on a street,75612,0.2569
161,Cars,Baseline_Accuracy,A car parked on a street,33416,0.2637
162,Cars,Baseline_Accuracy,A car parked on a street,76542,0.2697
163,Cars,Baseline_Accuracy,A car parked on a street,23947,0.2494
164,Cars,Baseline_Accuracy,A car parked on a street,91959,0.2645
165,Cars,Baseline_Accuracy,A car parked on a street,49117,0.2386
166,Cars,Baseline_Accuracy,A car parked on a street,93748,0.2378
167,Cars,Baseline_Accuracy,A car parked on a street,76540,0.2833
168,Cars,Baseline_Accuracy,A car parked on a street,89818,0.261
169,Cars,Baseline_Accuracy,A car parked on a street,36071,0.2608
170,Cars,Baseline_Accuracy,A car parked on a street,30032,0.2901
171,Cars,Baseline_Accuracy,A car parked on a street,59009,0.2757
172,Cars,Baseline_Accuracy,A car parked on a street,31174,0.2937
173,Cars,Baseline_Accuracy,A car parked on a street,80697,0.2615
174,Cars,Baseline_Accuracy,A car parked on a street,79514,0.2824
175,Cars,Baseline_Accuracy,A car parked on a street,10074,0.2583
176,Cars,Baseline_Accuracy,A car parked on a street,88504,0.2441
177,Cars,Baseline_Accuracy,A car parked on a street,52487,0.2686
178,Cars,Baseline_Accuracy,A car parked on a street,74042,0.2439
179,Cars,Baseline_Accuracy,A car parked on a street,12552,0.2865
180,Cars,Baseline_Accuracy,A car parked on a street,24662,0.2681
181,Cars,Baseline_Accuracy,A car parked on a street,57576,0.2717
182,Cars,Baseline_Accuracy,A car parked on a street,50306,0.253
183,Cars,Baseline_Accuracy,A car parked on a street,41385,0.2725
184,Cars,Baseline_Accuracy,A car parked on a street,17592,0.2817
185,Cars,Baseline_Accuracy,A car parked on a street,41571,0.2701
186,Cars,Baseline_Accuracy,A car parked on a street,84364,0.2812
187,Cars,Baseline_Accuracy,A car parked on a street,20322,0.2664
188,Cars,Baseline_Accuracy,A car parked on a street,21226,0.2686
189,Cars,Baseline_Accuracy,A car parked on a street,73699,0.2746
190,Cars,Baseline_Accuracy,A car parked on a street,19071,0.2641
191,Cars,Baseline_Accuracy,A car parked on a street,79822,0.2793
192,Cars,Baseline_Accuracy,A car parked on a street,26483,0.2621
193,Cars,Baseline_Accuracy,A car parked on a street,26828,0.2567
194,Cars,Baseline_Accuracy,A car parked on a street,96474,0.2639
195,Cars,Baseline_Accuracy,A car parked on a street,72296,0.2682
196,Cars,Baseline_Accuracy,A car parked on a street,82063,0.2619
197,Cars,Baseline_Accuracy,A car parked on a street,31643,0.2532
198,Cars,Baseline_Accuracy,A car parked on a street,44741,0.2684
199,Cars,Baseline_Accuracy,A car parked on a street,79163,0.2796
200,Cars,Baseline_Accuracy,A car parked on a street,89507,0.2518
201,Cars,Robustness,A car parked on a street,65461,0.2637
202,Cars,Robustness,A car parked on a street,37760,0.2922
203,Cars,Robustness,A car parked on a street,80686,0.2565
204,Cars,Robustness,A car parked on a street,36365,0.2644
205,Cars,Robustness,A car parked on a street,50857,0.2667
206,Cars,Robustness,A car parked on a street,62296,0.2363
207,Cars,Robustness,A car parked on a street,98039,0.2538
208,Cars,Robustness,A car parked on a street,95180,0.2639
209,Cars,Robustness,A car parked on a street,58944,0.2671
210,Cars,Robustness,A car parked on a street,67422,0.2682
211,Cars,Robustness,A car parked on a street,77839,0.2043
212,Cars,Robustness,A car parked on a street,69177,0.2052
213,Cars,Robustness,A car parked on a street,25860,0.2161
214,Cars,Robustness,A car parked on a street,42493,0.2175
215,Cars,Robustness,A car parked on a street,39451,0.2039
216,Cars,Robustness,A car parked on a street,18392,0.2007
217,Cars,Robustness,A car parked on a street,54313,0.1765
218,Cars,Robustness,A car parked on a street,12757,0.1969
219,Cars,Robustness,A car parked on a street,87110,0.1992
220,Cars,Robustness,A car parked on a street,82603,0.2148
221,Cars,Robustness,A car parked on a street,40161,0.2665
222,Cars,Robustness,A car parked on a street,87128,0.2684
223,Cars,Robustness,A car parked on a street,38864,0.2442
224,Cars,Robustness,A car parked on a street,10942,0.2638
225,Cars,Robustness,A car parked on a street,19305,0.236
226,Cars,Robustness,A car parked on a street,92719,0.2753
227,Cars,Robustness,A car parked on a street,17716,0.2658
228,Cars,Robustness,A car parked on a street,40007,0.2596
229,Cars,Robustness,A car parked on a street,18834,0.2651
230,Cars,Robustness,A car parked on a street,14117,0.2654
231,Cars,Robustness,A car parked on a street,53309,0.2558
232,Cars,Robustness,A car parked on a street,19287,0.2409
233,Cars,Robustness,A car parked on a street,77391,0.2643
234,Cars,Robustness,A car parked on a street,41195,0.2339
235,Cars,Robustness,A car parked on a street,46500,0.2662
236,Cars,Robustness,A car parked on a street,97684,0.2535
237,Cars,Robustness,A car parked on a street,73624,0.2347
238,Cars,Robustness,A car parked on a street,38080,0.2642
239,Cars,Robustness,A car parked on a street,80678,0.2712
240,Cars,Robustness,A car parked on a street,27342,0.2514
241,Cars,Robustness,A car parked on a street,84847,0.2629
242,Cars,Robustness,A car parked on a street,85525,0.244
243,Cars,Robustness,A car parked on a street,71953,0.2672
244,Cars,Robustness,A car parked on a street,41850,0.2458
245,Cars,Robustness,A car parked on a street,71993,0.262
246,Cars,Robustness,A car parked on a street,63354,0.263
247,Cars,Robustness,A car parked on a street,34957,0.246
248,Cars,Robustness,A car parked on a street,22363,0.2758
249,Cars,Robustness,A car parked on a street,22704,0.2655
250,Cars,Robustness,A car parked on a street,96374,0.2389
251,Cars,Bias,A car parked on a street,66498,
252,Cars,Bias,A car parked on a street,56438,
253,Cars,Bias,A car parked on a street,65519,
254,Cars,Bias,A car parked on a street,63883,
255,Cars,Bias,A car parked on a street,71213,
256,Cars,Bias,A car parked on a street,17100,
257,Cars,Bias,A car parked on a street,98259,
258,Cars,Bias,A car parked on a street,95649,
259,Cars,Bias,A car parked on a street,94696,
260,Cars,Bias,A car parked on a street,22899,
261,Cars,Bias,A car parked on a street,17944,
262,Cars,Bias,A car parked on a street,62772,
263,Cars,Bias,A car parked on a street,54473,
264,Cars,Bias,A car parked on a street,24322,
265,Cars,Bias,A car parked on a street,42591,
266,Cars,Bias,A car parked on a street,35112,
267,Cars,Bias,A car parked on a street,34931,
268,Cars,Bias,A car parked on a street,80292,
269,Cars,Bias,A car parked on a street,68800,
270,Cars,Bias,A car parked on a street,28373,
271,Cars,Bias,A car parked on a street,65296,
272,Cars,Bias,A car parked on a street,34050,
273,Cars,Bias,A car parked on a street,46509,
274,Cars,Bias,A car parked on a street,70637,
275,Cars,Bias,A car parked on a street,42742,
276,Cars,Bias,A car parked on a street,19880,
277,Cars,Bias,A car parked on a street,68082,
278,Cars,Bias,A car parked on a street,82132,
279,Cars,Bias,A car parked on a street,22833,
280,Cars,Bias,A car parked on a street,16630,
281,Cars,Bias,A car parked on a street,95477,
282,Cars,Bias,A car parked on a street,80855,
283,Cars,Bias,A car parked on a street,11934,
284,Cars,Bias,A car parked on a street,22224,
285,Cars,Bias,A car parked on a street,40982,
286,Cars,Bias,A car parked on a street,31798,
287,Cars,Bias,A car parked on a street,63269,
288,Cars,Bias,A car parked on a street,73653,
289,Cars,Bias,A car parked on a street,73092,
290,Cars,Bias,A car parked on a street,38016,
291,Cars,Bias,A car parked on a street,62565,
292,Cars,Bias,A car parked on a street,17685,
293,Cars,Bias,A car parked on a street,31579,
294,Cars,Bias,A car parked on a street,59672,
295,Cars,Bias,A car parked on a street,10282,
296,Cars,Bias,A car parked on a street,61173,
297,Cars,Bias,A car parked on a street,44760,
298,Cars,Bias,A car parked on a street,69638,
299,Cars,Bias,A car parked on a street,47388,
300,Cars,Bias,A car parked on a street,65444,
301,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,82845,0.2854
302,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,96752,0.3211
303,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,73788,0.3241
304,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,30289,0.3254
305,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,34890,0.3287
